name,Meadow ID,Meadow Name,Meadow Reference,Assessment Date,Assessment Points,Assessment Completed,Organization Affiliation,Elevation_m,Slope,Hydrogeomorphic Type,Land Ownership,Bank Height,Secondary Channel Bank Height,Gullies,Left Bank Stability,Right Bank Stability,Total Bank Stability,Secondary Channel Bank Stability,Vegetation Cover,Bare Ground,Encroachment,Restoration Efforts,Comments on Restoration,Headcut Present,Number of Headcuts,Ponds Present,Aspen Trees Present,Grazing Trails,Stubble,Dung in Channel,Hoof Prints on Banks,Surveyor(s),Trail,Evidence of OHV use,Road,Corral,Building,Vehical Access,Adjacent Culvert,Adjacent Bridge,Adjacent Road,Adjacent Building,Gopher Disturbance,"Willow, Alder, and Aspen Coverage",Fish Observed,Beavers,Latitude,Longitude,Watershed,General Comments
Middle Perazzo Meadow Assessment,,Middle Perazzo Meadow,UCDSNM014709,"Thursday, June 26, 2014",24,Yes,American Rivers,2073,21.04,,Tahoe National Forest,Natural Condition,,Natural Condition,,,Natural Condition,Natural Condition,Natural Condition,Natural Condition,Natural Condition,No,,No,,,Yes,No,No,No,No,"Meg Hanley, Jacob Dyste",No,No,No,,No,Yes,No,No,Yes,No,0,0.2,No,No,39.459278,-120.390694,Truckee,"- Healthy meadow with channel that runs along northeast side 
- Fair amount of surface flow, visited after rain
- Some of the delineated area is quite sloped, with willow. Actual meadow may be smaller than 15 acres"
Upper Perazzo Meadow Assessment,,Upper Perazzo Meadow,UCDSNM014701,"Thursday, June 26, 2014",,No,American Rivers,2094,20.3,,Tahoe National Forest,,,,,,,,,,,,,,,,,,,,,"Meg Hanley, Jacob Dyste",,,,,,,,,,,,,,,39.453194,-120.390611,Truckee,"- Meadow area is over delineated
- About 5 acres of actual meadow vegetation
- Upper areas are stringers filled with willow and sloped"
Cold Stream Meadow Assessment,,Cold Stream Meadow,UCDSNM014704,"Thursday, June 26, 2014",24,Yes,American Rivers,2347,13.2,,Tahoe National Forest,Natural Condition,,Natural Condition,,,Natural Condition,,Natural Condition,Natural Condition,Natural Condition,No,,No,,,No,No,No,No,No,"Meg Hanley, Jacob Dyste",Yes,No,No,,No,,No,No,Yes,No,3,0.2,Yes,No,39.453556,-120.346222,Truckee,"- Healthy, wet meadow
- SNC Land Trust
- Pooling in upper meadow
- Dead conifer in upper meadow
- Excluding stringers (willow filled), actual meadow is smaller than delineated and may or may not be larger than 15 acres"
Kyburz Flat Assessment,,Kyburz Flat,UCDSNM014791,"Tuesday, July 1, 2014",17,Yes,American Rivers,1924,3.9,,Tahoe National Forest,Slightly Impacted,,Slightly Impacted,,,Slightly Impacted,,Natural Condition,Slightly Impacted,Heavily Impacted,No,,No,,,No,No,No,No,No,"Jacob Dyste, Meg Hanley",No,No,Yes,No,No,Yes,No,Yes,Yes,No,2,0.05,No,No,39.502056,-120.240333,Truckee,"- Large, dry meadow bisected east-west by a road with a bridge
- North part of meadow, above road, is full of sage up until an inset floodplain around channel. This creates a very narrow strip of meadow vegetation along a very incised channel
- South pa"
Upper Independence Creek Meadow Assessment,,Upper Independence Creek Meadow,UCDSNM014656,"Tuesday, July 1, 2014",22,Yes,American Rivers,,,,Other,Natural Condition,,Natural Condition,,,Natural Condition,,Natural Condition,Natural Condition,Moderately Impacted,Yes,#NAME?,No,,,Yes,No,No,No,No,"Meg Hanley, Jacob Dyste",Yes,No,No,No,No,Yes,No,No,Yes,No,2,0.6,Yes,Yes,39.429194,-120.330694,Truckee,"- Lahontan cutthroat trout spawning ground above Indpendence Lake
- Main meadow isn't on Upper Independence Creek, rather is south of the creek. Along the creek is a riparian corridor with some bank instability which is being addressed via restoration
-"
Independence Lake Meadow Assessment,,Independence Lake Meadow,No Meadow,"Tuesday, July 1, 2014",24,Yes,American Rivers,,,,Other,Natural Condition,,Natural Condition,,,Natural Condition,,Natural Condition,Natural Condition,Natural Condition,No,,No,,,Yes,No,No,Yes,No,"Meg Hanley, Jacob Dyste",Yes,No,Yes,No,No,Yes,No,No,Yes,Yes,0,0.05,No,No,39.454639,-120.293167,Truckee,"- Large pond in center of meadow, very dry above and below pond
- Road bisects bottom of meadow
- NSP Meadow in the Independence Lake Preserve (TNC & TDLT)"
Unnamed Meadow 13 Assessment,,Unnamed Meadow 13,UCDSNM014718,"Tuesday, July 1, 2014",22,Yes,American Rivers,2134,11.4,,Tahoe National Forest,Natural Condition,,Natural Condition,,,Natural Condition,,Natural Condition,Natural Condition,Moderately Impacted,No,,No,,,Yes,Yes,No,Yes,No,"Meg Hanley, Jacob Dyste",No,Yes,Yes,No,No,No,No,No,No,No,0,0.15,No,No,39.465472,-120.306361,Truckee,"- Discontinuous meadow with two true meadow sections connected by willow/conifer encroached areas
- One section of meadow is spring fed, forming a channel 
- Other section is drier
- Delineated area is larger than actual meadow"
Independence Lake Secret Meadow Assessment,,Independence Lake Secret Meadow,UCDSNM014719,"Tuesday, July 1, 2014",23,Yes,American Rivers,,,,Other,Natural Condition,,Natural Condition,,,Natural Condition,,Natural Condition,Natural Condition,Slightly Impacted,No,,No,,,Yes,No,No,Yes,No,"Jacob Dyste, Meg Hanley",No,No,No,No,No,Yes,No,No,Yes,No,0,0.15,No,,39.466056,-120.290833,Truckee,"- Hummocks present in lower meadow
- Meadow is under 15 acres
- NSP property in TNC preserve
- Very narrow channel, lots of water spread, overall meadow surface is very spongy
- Upper section is a bit dryer
- Small conifers present along edges of bot"
Meathouse Meadow Assessment,,Meathouse Meadow,UCDSNM014724,"Tuesday, July 1, 2014",,No,American Rivers,2232,19.8,,Tahoe National Forest,,,,,,,,,,,,,,,,,,,,,Jacob Dyste,,,,,,,,,,,,,,,39.467639,-120.329444,Truckee,"- Headwaters of Billy Creek
- Meadow is very steep and almost completely covered by willow
- Not possible to conduct transects"
Unnamed Meadow 12 Assessment,,Unnamed Meadow 12,No Meadow,"Tuesday, July 1, 2014",,No,American Rivers,2183,13.9,,Tahoe National Forest,,,,,,,,,,,,,,,,,,,,,Jacob Dyste,,,,,,,,,,,,,,,39.46725,-120.315694,Truckee,"- Alder and willow checked area
- Slightly sloped 
- Only about 5 acres of meadow vegetation at bottom of meadow, no channel"
Secret Meadow Assessment,,Secret Meadow,UCDSNM014716,"Tuesday, July 1, 2014",21,Yes,American Rivers,,,,Tahoe National Forest,Natural Condition,,Natural Condition,,,Natural Condition,,Slightly Impacted,Slightly Impacted,,No,,Yes,1,,No,Yes,No,Yes,No,Jacob Dyste,No,No,No,No,No,Yes,No,No,Yes,No,1,0.05,No,No,39.460528,-120.273111,Truckee,"- Dry meadow
- Fair amount of conifer encroachment
- TNC forest thinning project above meadow"
Pink Mine Meadow Assessment,,Pink Mine Meadow,UCDSNM014562,"Wednesday, July 16, 2014",18,Yes,American Rivers,1667,10.41,,Tahoe National Forest,Natural Condition,,Natural Condition,,,Natural Condition,,Slightly Impacted,Heavily Impacted,Moderately Impacted,No,,Yes,2,,No,No,No,No,No,Jacob Dyste,No,No,Yes,No,No,Yes,No,No,Yes,No,12,0,No,No,39.379694,-120.050403,Truckee,"- Very dry meadow
- Old cut tree stumps and a truncated stone wall in middle meadow, perhaps from previous use (grazing?)
- Two headcuts, semi-stable (some grass growing back on the face of the cuts), but may only be stable because there is no flow to m"
Unnamed Meadow 23 Assessment,,Unnamed Meadow 23,UCDSNM014675,"Thursday, July 24, 2014",,No,American Rivers,2266,27.4,,Tahoe National Forest,,,,,,,,,,,,,,,,,,,,,Jacob Dyste,,,,,,,,,,,,,,,39.436972,-120.427694,Truckee,
Tom's Valley  Assessment,,Tom's Valley ,UCDSNM014657,"Thursday, July 24, 2014",22,Yes,American Rivers,2292,,,Tahoe National Forest,Natural Condition,,Natural Condition,,,Natural Condition,,Slightly Impacted,Natural Condition,Slightly Impacted,No,,No,,,No,No,No,No,No,Jacob Dyste,No,No,Yes,No,No,Yes,No,No,Yes,No,2,0.2,No,No,39.431222,-120.415167,Truckee,"- Meadow has two sections, upper and lower
- Upper meadow is wet, fed by runoff from a large ridge. Upper 1/3 of upper meadow is fairly sloped. Overall good channel to meadow surface connection, many wildflower present.
- Lower meadow is wet, narrower t"
Bacon Ranch East Assessment,,Bacon Ranch East,No Meadow,"Tuesday, July 22, 2014",21,Yes,American Rivers,1664,,,Private,Slightly Impacted,,Slightly Impacted,,,Natural Condition,,Natural Condition,Slightly Impacted,Natural Condition,No,,No,,No,Yes,Yes,Yes,Yes,Yes,Jacob Dyste,No,Yes,No,No,No,Yes,No,Yes,Yes,No,0,0.05,No,No,38.703047,-119.771722,Carson,The meadow is irrigated along and about the meadow. Meadow has a deeply inset floodplain but a survey would be necessary to see how deep. There is milkweed and monarch butterflies in the meadow. The meadow is owned by Ned Bacon and the grazing lessee is David park. TNC and ESLT is working to place a conservation easement on the property or to buy it but the landowner is frequently out of the country. He is interested in working with partners but it is not his top priority. Meadow vegetation in the inset floodplain is helped by irrigation in the upper meadow. Surface flow is visible in places.  
Lacy Meadow Assessment,,Lacy Meadow,UCDSNM014757,"Monday, July 28, 2014",18,Yes,American Rivers,2086,,,Other,Moderately Impacted,,Natural Condition,,,Slightly Impacted,,Slightly Impacted,Slightly Impacted,Slightly Impacted,No,,No,,,No,No,No,No,No,Jacob Dyste,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,3,0.1,Yes,No,39.472417,-120.420528,Truckee,"- No invasive species observed
- Truckee Donner Land Trust property
- Large, dry meadow with a wide channel
- Channel has water only in deep pools - no continuous flow - fish present and stranded (1-6 in. in length)
- Channel has large pebble bars and"
Coon Canyon Meadow Assessment,,Coon Canyon Meadow,UCDSNM014555,"Wednesday, July 30, 2014",,No,American Rivers,2310,22.5,,Tahoe National Forest,,,,,,,,,,,,,,,,,,,,,Jacob Dyste,,,,,,,,,,,,,,,39.37,-120.34,,"- Area not surveyed, ground truthed to not be meadow
- Area dominated by woody vegetation (willow)
- Channel present, about 2 feet wide and running with water at the time of assessment
- Area is sloped north to south towards the channel "
Warren Lake Trail Meadow Assessment,,Warren Lake Trail Meadow,UCDSNM014570,"Wednesday, July 30, 2014",,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"- Not considered a meadow, therefore not surveyed. 
- No visible channel, two ponds surrounded by willow
- Woody species (mainly willow) dominate the area
- Meadow accessed via hiking 5 miles into Tahoe National Forest via Warren Lake Trail"
China Camp Meadow Assessment,,China Camp Meadow,UCDSNM011585,"Wednesday, October 23, 2013",,Yes,American Rivers,2075,,,U.S. Forest Service,Slightly Impacted,,Slightly Impacted,Natural Condition,Natural Condition,Natural Condition,,Natural Condition,Moderately Impacted,Heavily Impacted,Yes,fencing and burn barrier line dug for planned restorative burning,Yes,4,No,No,Yes,Yes,Yes,Yes,,,,Yes,,,Yes,,,Yes,,0,0.01,Yes,Yes,38.346,-118.998,East Walker,"4 small headcuts with potential to migrate. Road at the bottom of meadow is draining channel. Would need to construct new channel and crossing. Need better understanding of major headcut below the road, conveyance of flows by road, and above road headcuts. Significant encroachment by sagebrush and wild rose that the Forest Service plans to burn to clear."
Unnamed 2 Meadow Assessment,,Unnamed 2 Meadow,UCDSNM000717,"Thursday, July 11, 2013",,Yes,American Rivers,,,,U.S. Forest Service,Natural Condition,,Natural Condition,,,Natural Condition,,Natural Condition,,Slightly Impacted,No,,Yes,2,No,No,No,No,Yes,No,Jacob Dyste,No,No,No,No,No,No,No,No,No,No,0,0.01,,,36.364791,-118.208905,,There is no clear channel. Where there are headcuts there are small swales. 
Cold Meadow  Assessment,,Cold Meadow ,UCDSNM000478,"Saturday, July 13, 2013",,Yes,American Rivers,,,,U.S. Forest Service,Natural Condition,,Natural Condition,,,Natural Condition,,Natural Condition,,Natural Condition,Yes,Stabilized headcuts ,Yes,0,Yes,No,Yes,No,No,No,Jacob Dyste,No,No,No,No,No,No,No,No,No,No,0,0.3,,,36.2831,-118.302656,,"In remote wilderness. Trail crosses the valley just above the meadow. Lower portion of the meadow is steep. East stringer is mostly willow dominated. Golden Trout in the stream at the base of the meadow. Headcut repairs are grown in, old cattle trails are grown over. "
Redrocks Meadow  Assessment,,Redrocks Meadow ,UCDSNM000463,"Friday, July 12, 2013",,Yes,American Rivers,,,,U.S. Forest Service,Natural Condition,,Natural Condition,,,Natural Condition,,Natural Condition,,Natural Condition,Yes,Four stabilized and revegetated headcuts ,Yes,1,No,No,Yes,No,No,No,Jacob Dyste,No,No,No,No,No,No,No,No,No,No,0,0.3,,,36.270914,-118.272085,,Steep sidehill meadow with trib at bottom of the main meadow except at the top where stream flows as overland across thick sedge until headcut. 
Freckles Meadow  Assessment,,Freckles Meadow ,UCDSNM000741,"Wednesday, July 10, 2013",,Yes,American Rivers,,,,U.S. Forest Service,Natural Condition,Heavily Impacted,Natural Condition,,,Natural Condition,Slightly Impacted,Natural Condition,,Moderately Impacted,No,,No,0,No,No,Yes,No,No,No,Jacob Dyste,No,No,No,No,No,No,No,No,No,No,9,0.01,,,36.366979,-118.178334,,Second channel is more deeply incised in the center reach. Meadow vegetation is constrained to the channel with no inset floodplain. Bottom of the meadow is all flat and 100% graminoid. 
Ash Meadow  Assessment,,Ash Meadow ,UCDSNM000878,"Wednesday, July 10, 2013",,Yes,American Rivers,,,,U.S. Forest Service,Slightly Impacted,,Slightly Impacted,,,Slightly Impacted,,Natural Condition,,Moderately Impacted,Yes,"Headcut repair, all seem to be working. ",Yes,0,No,No,Yes,Yes,Yes,Yes,Jacob Dyste,No,No,No,No,No,No,No,No,No,No,4,0.01,,,36.390225,-118.143517,,Central reach is fairly incised with sagebrush terraces. 6 inch peat layer on top. Uppermost meadow has a depression but no clear cut channel. Fish are present near transects 1 and 3. Hummocks are localized. 
Bear Meadow  Assessment,,Bear Meadow ,UCDSNM000922,"Wednesday, July 10, 2013",,Yes,American Rivers,,,,U.S. Forest Service,Slightly Impacted,,Slightly Impacted,,,Natural Condition,,Natural Condition,,Slightly Impacted,Yes,Headcut repair,Yes,1,No,No,No,Yes,No,No,Jacob Dyste,No,No,No,No,No,No,No,No,No,No,3,0.05,,,36.401982,-118.168653,,One headcut that could use stabilizing. Some hummocking. 
Strawberry Meadow  Assessment,,Strawberry Meadow ,UCDSNM000652,"Saturday, July 13, 2013",,Yes,American Rivers,,,,U.S. Forest Service,Moderately Impacted,,Moderately Impacted,,,Slightly Impacted,,Slightly Impacted,,Moderately Impacted,No,,Yes,0,No,No,Yes,No,Yes,No,Jacob Dyste,Yes,No,No,No,No,No,No,No,No,No,1,0.01,,,36.301991,-118.192091,,The headcuts are near the top of the Fat Cow arm. There is wet meadow at risk near the top of the arm. Caught a Brown Trout in the meadow. There are also Golden Trout in the meadow. Meadow is 80% covered in algae and milfoil above transect 2. Less algae downstream. Floodplain is mostly large gravel bars and some encroaching sage. Floodplain is inset 2 feet into the terrace. Lots of 6 to 8 inch fish in the creek. 
Brown Meadow Assessment,,Brown Meadow,UCDSNM000652,"Sunday, July 14, 2013",,Yes,American Rivers,,,,U.S. Forest Service,Moderately Impacted,,Moderately Impacted,,,Slightly Impacted,,Slightly Impacted,,Moderately Impacted,Yes,"Grade control, headcut and bank stabilization. Some of it has failed. ",Yes,8,No,No,Yes,No,No,No,Jacob Dyste,Yes,No,No,No,No,No,No,No,No,Yes,4,0.01,,,36.285427,-118.167634,,There are numerous headcuts below intact meadow. Seems that stabilizing these could preserve large area of intact meadow channel. Sage has completely encroached terraces except where side springs provide water. Past restoration work is in the upper part of the meadow. 
Overholster Meadow  Assessment,,Overholster Meadow ,UCDSNM000795,"Thursday, July 11, 2013",,Yes,American Rivers,,,,U.S. Forest Service,Natural Condition,,Natural Condition,,,Natural Condition,,Slightly Impacted,,Slightly Impacted,No,,No,0,No,No,Yes,Yes,Yes,No,Jacob Dyste,No,No,No,No,No,No,No,No,No,No,2,0.2,,,36.3745,-118.206358,,"NW stringer is think willow. North Stringer is cut into alluvial fan. Lower meadow is also thick willow. No channel at transect 2 or 3. Appears that log/silt jams at Mulkey Creek narrows just upstream, may aid some infrequent flooding. No hummocks present. "
Grouse Meadow Assessment,,Grouse Meadow,UCDSNM000630,"Monday, July 15, 2013",,Yes,American Rivers,,,,U.S. Forest Service,Natural Condition,,Natural Condition,,,Natural Condition,,Natural Condition,,Natural Condition,No,,No,0,No,No,Yes,No,No,No,Jacob Dyste,No,No,No,No,No,No,No,No,No,No,2,0.01,,,36.336202,-118.146065,,South arm is unchannelled wet meadow. East arm of the meadow is within 4-8 foot high banks with sage on top. No vertical cutbanks observed in east arm. North arm has 2 foot wide and 2 foot deep channel and is 80% willow. 
Long Meadow  Assessment,,Long Meadow ,UCDSNM000485,"Sunday, July 14, 2013",,Yes,American Rivers,,,,U.S. Forest Service,Slightly Impacted,,Slightly Impacted,,,Natural Condition,,Natural Condition,,Natural Condition,No,,No,0,No,No,No,No,No,No,Jacob Dyste,No,No,No,No,No,No,No,No,No,No,3,0.4,,,36.28885,-118.143687,,Numerous fens with liverworts and club moss. Channel at top of the meadow starts halfway between transect 1 and 2. There may be an old trail along the meadow margin. Below the 2nd transect there are multiple small channels. Meadow is one of the steeper and wetter ones we have seen. 
Death Canyon Meadow Assessment,,Death Canyon Meadow,UCDSNM000595,"Monday, July 15, 2013",,Yes,American Rivers,,,,U.S. Forest Service,Natural Condition,,Natural Condition,,,Natural Condition,,Slightly Impacted,,Natural Condition,Yes,Headcut repair,Yes,2,No,No,Yes,No,No,No,Jacob Dyste,No,No,No,No,No,No,No,No,No,No,6,0.01,,,36.32594,-118.1408,,Incised channel is 3 to 4 feet deep at the toe of the meadow. Headcuts there have been successfully stablilized with rock. There are now no active headcuts. There are potholes in the meadow that are evenly spaced. There is one boulder in a pothole with a 355 stamped on it. This is similar to a stamp on a headcut repair in Brown Meadow. There are think sedges between the potholes that could have been done as restoration work. 
Dry Creek Meadow Assessment,,Dry Creek Meadow,UCDSNM000652,"Monday, July 15, 2013",,Yes,American Rivers,,,,U.S. Forest Service,Natural Condition,,Natural Condition,,,Natural Condition,,Slightly Impacted,,,No,,Yes,9,No,No,Yes,No,No,No,Jacob Dyste,No,No,No,No,No,No,No,No,No,No,0,0.01,,,36.323614,-118.167974,,Meadow is constrained to channel and upper side slopes of the stringers. Meadows within channel is thick with carex with numerous stagnant ponds at time of survey. Upper arms of the meadow do no have channels. 
Unnamed 3  Assessment,,Unnamed 3 ,UCDSNM000669,"Thursday, July 11, 2013",,Yes,American Rivers,,,,U.S. Forest Service,Natural Condition,,Natural Condition,,,Natural Condition,,Natural Condition,,Slightly Impacted,No,,Yes,2,No,No,No,No,No,No,Jacob Dyste,No,No,No,No,No,No,No,No,No,No,1,0.01,,,36.352618,-118.188525,,There are no hummocks in the meadow. Thick sedge and sage on the higher areas. Just below the meadow there is a series of headcuts that add incision 50 yards downstream. 
Templeton Lower  Assessment,,Templeton Lower ,UCDSNM000652,"Friday, July 12, 2013",,Yes,American Rivers,,,,U.S. Forest Service,Natural Condition,,Natural Condition,,,Natural Condition,,Slightly Impacted,,Natural Condition,Yes,"Headcut stabilization, fencing, failed headcut repair. ",Yes,5,No,No,Yes,No,No,No,Jacob Dyste,Yes,No,No,No,Yes,No,No,No,No,No,0,0.03,,,36.334971,-118.191242,,See above. 
Templeton Middle Assessment,,Templeton Middle,UCDSNM000652,"Friday, July 12, 2013",,Yes,American Rivers,,,,U.S. Forest Service,Heavily Impacted,,Heavily Impacted,,,Moderately Impacted,,Slightly Impacted,,Heavily Impacted,Yes,"Headcut stabilization, fencing, failed headcut repair. ",Yes,5,No,No,Yes,No,No,No,Jacob Dyste,Yes,No,No,No,Yes,No,No,No,No,No,0,0.03,,,36.333466,-118.21417,,Lower reach has around 25% willow. 
Big Dry Meadow  Assessment,,Big Dry Meadow ,UCDSNM000595,"Monday, July 15, 2013",,Yes,American Rivers,,,,U.S. Forest Service,Slightly Impacted,,Slightly Impacted,,,Natural Condition,,Natural Condition,,0,Yes,Headcut stabilization ,Yes,4,No,No,Yes,No,No,No,Jacob Dyste,No,No,No,No,No,No,No,No,No,No,4,0,,,36.311982,-118.136044,,East meadow is threatened by headcuts. The headcuts have cut around the repairs but they do not seem to be moving upstream. East finger has most extensive meadow vegetation. Central region is mostly bare ground in the channel. Flowing water in the east finger and dries before transect 1. Most of the delineated area is sage flat. 
Lower Cattle Creek Meadow Assessment,,Lower Cattle Creek Meadow,UCDSNM010955,"Sunday, September 8, 2013",,Yes,American Rivers,,,,U.S. Forest Service,Natural Condition,,Natural Condition,,,Natural Condition,,Natural Condition,,Moderately Impacted,Yes,In wilderness ,No,0,No,No,No,No,No,No,Jacob Dyste,No,No,No,No,No,No,No,No,No,No,0,0.05,,,38.12901,-119.36007,,"No need for restoration. There is a large amount of conifer encroachment, some dead trees too. Lots of deer. High alpine meadow. "
Silver Creek Meadow  Assessment,,Silver Creek Meadow ,UCDSNM011863,"Monday, June 3, 2013",,Yes,American Rivers,,,,U.S. Forest Service,Natural Condition,,Natural Condition,,,Natural Condition,,Slightly Impacted,,Slightly Impacted,No,,No,0,No,Yes,No,No,No,No,Jacob Dyste,Yes,No,No,No,No,No,No,No,No,No,2,0.05,,,38.380696,-119.578061,,"Meadow and stream are in great shape overall - banks very stable, water table high. Rather than one continuous meadow, it is more of a complex. The upper two are very wet but on steeper slopes than the lower meadow - they are mainly fed by upslope seeps. Main channel has inset floodplain in steeper sloped areas. Stream steepens between lower and upper meadows. "
Lower Wolf Creek Meadow Assessment,,Lower Wolf Creek Meadow,UCDSNM011806,"Monday, June 3, 2013",,Yes,American Rivers,,,,U.S. Forest Service,Slightly Impacted,,Slightly Impacted,,,Natural Condition,,Slightly Impacted,,Moderately Impacted,No,,Yes,1,,Yes,No,No,No,No,Jacob Dyste,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,1,0.05,,,38.363551,-119.573838,,Culvert to the north of the meadow is localizing flow. Some sagebrush but a lot of it is on terraces above what may have been the original meadow surface. 
Upper Wolf Creek Meadow  Assessment,,Upper Wolf Creek Meadow ,UCDSNM011770,"Monday, June 3, 2013",,Yes,American Rivers,,,,U.S. Forest Service,Moderately Impacted,,Moderately Impacted,,,Natural Condition,,Slightly Impacted,,Slightly Impacted,No,,Yes,3,,No,No,No,No,No,Jacob Dyste,Yes,No,No,No,No,No,No,No,No,No,3,0.1,,,38.352791,-119.601548,,"Channel is low in relation to the meadow surface but there are no obvious signs of impact. Downcut tribs on steep slopes, but not gullies. "
Cloudburst Creek Meadow Assessment,,Cloudburst Creek Meadow,UCDSNM011766,"Tuesday, June 4, 2013",,Yes,American Rivers,,,,U.S. Forest Service,Slightly Impacted,,Slightly Impacted,,,Slightly Impacted,,Slightly Impacted,,Slightly Impacted,Yes,"Headcut stabilization - metal piling, rock gabions serving as a check dam. ",Yes,5,,No,No,No,Yes,No,Jacob Dyste,No,No,Yes,No,No,Yes,Yes,No,Yes,No,0,0.05,,,38.350338,-119.578449,,Efforts have been made to restore the meadow but there are still opportunities for improvement.There is easy access from the road and potential for hand labor to stabilize the smaller headcuts. Meadow is in good shape where there are not headcuts. There are multiple channels in different places. Less of a continuous meadow and more of a complex of meadow. There are two culverts at the road. 
Upper Little Wolf Creek Meadow  Assessment,,Upper Little Wolf Creek Meadow ,UCDSNM011754,"Tuesday, June 4, 2013",,Yes,American Rivers,,,,U.S. Forest Service,Natural Condition,,Natural Condition,,,Slightly Impacted,,Natural Condition,,Natural Condition,No,,No,0,,No,Yes,No,Yes,No,Jacob Dyste,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,6,0.1,,,38.344236,-119.579564,,"There are two main sections of meadow with a narrow middle stringer, polygon needs to be altered to reflect this. "
Little Wolf Creek Meadow  Assessment,,Little Wolf Creek Meadow ,UCDSNM011742,"Tuesday, June 4, 2013",,Yes,American Rivers,,,,U.S. Forest Service,Moderately Impacted,,Moderately Impacted,,,Slightly Impacted,,Slightly Impacted,,Slightly Impacted,No,,Yes,3,,No,No,No,Yes,No,Jacob Dyste,No,No,Yes,No,No,Yes,Yes,No,Yes,No,9,0.1,,,38.34018,-119.58369,,"Undersized culvert, 3 large headcuts - 1 on main channel, 2 on tribs - could be difficult to stabilize due to size. Road along the river left of the main channel. Upper meadow is healthier than the lower, seperated by a steep grade and conifers. "
Sardine Meadow  Assessment,,Sardine Meadow ,UCDSNM011693,"Tuesday, June 4, 2013",,Yes,American Rivers,,,,U.S. Forest Service,Heavily Impacted,,Heavily Impacted,,,Heavily Impacted,,Slightly Impacted,,Heavily Impacted,Yes,Electric fence to protect a spring. ,Yes,4,,No,No,No,Yes,Yes,Jacob Dyste,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,1,0.1,,,38.313968,-119.606721,,This meadow is heavily impacted and is close to the road. There appears to be current grazing on the meadow. 
Pickel Meadow  Assessment,,Pickel Meadow ,UCDSNM011785,"Tuesday, June 4, 2013",,Yes,American Rivers,,,,U.S. Forest Service,Moderately Impacted,,Moderately Impacted,,,Moderately Impacted,,Natural Condition,,Slightly Impacted,Yes,State wildlife area. Some areas fenced to keep grazing area. ,No,0,,No,Yes,No,Yes,No,Jacob Dyste,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,0,0.1,,,38.348451,-119.527054,,The Marine mountain warfare base is across the street. It has good road access. There seems to be active grazing in places. 
Leavitt Meadow  Assessment,,Leavitt Meadow ,UCDSNM011694,"Tuesday, June 4, 2013",,Yes,American Rivers,,,,U.S. Forest Service,Heavily Impacted,,Heavily Impacted,,,Heavily Impacted,,Natural Condition,,Moderately Impacted,Yes,There is the potential that the forest service is using an old irrigation system to rewater the meadow. ,Yes,1,,Yes,No,No,No,No,Jacob Dyste,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,0,0.15,,,38.316147,-119.550576,,"There is a pack horse operation and residents that line the meadow. They probably wouldn't want the disturbance from restoration. The meadow is on the main stem of the West Walker, would be hard to restore. Need to figure out the role the ditches are playing. "
Walker Meadow  Assessment,,Walker Meadow ,UCDSNM011495,"Thursday, June 20, 2013",,Yes,American Rivers,,,,U.S. Forest Service,Slightly Impacted,,Slightly Impacted,,,Slightly Impacted,,Natural Condition,,Slightly Impacted,No,,No,0,,No,No,No,No,No,Jacob Dyste,Yes,No,No,No,No,No,No,No,No,No,1,0.05,,,38.238764,-119.576045,,There is some bank instability but it does appear to be that unnatural. Within the Hoover Wilderness. 
West Fork Meadow Assessment,,West Fork Meadow,UCDSNM011441,"Thursday, June 20, 2013",,Yes,American Rivers,,,,U.S. Forest Service,Natural Condition,,Natural Condition,,,Natural Condition,,Natural Condition,,Slightly Impacted,No,,No,0,,No,No,No,No,No,Jacob Dyste,No,No,No,No,No,No,No,No,No,No,0,0.05,,,38.222297,-119.602859,,Meadow is on a small trib of the West Walker. Top of the delineated meadow is more of a small glacial valley. Very wet where transected. In the Hoover Wilderness with no trail. 
Grizzly Meadow  Assessment,,Grizzly Meadow ,UCDSNM011338,"Thursday, June 20, 2013",,Yes,American Rivers,,,,U.S. Forest Service,Moderately Impacted,,Moderately Impacted,,,Moderately Impacted,,Slightly Impacted,,Natural Condition,No,,No,0,,No,No,No,No,No,Jacob Dyste,No,No,No,No,No,No,No,No,No,No,23,0.1,,,38.203982,-119.617932,,"This meadow is very remote in the Hoover Wilderness. It is located in a large hanging glacial valley. The assessment was done right after all the snow melted which may have affected the vegetation results. Soil is coarse granite glacial till. Banks in place are tall and eroding, does not seem to be in a natural state even though it is remote. Much of the delineated is dry. "
