STA,Station Name,River Basin,County,lon_X,lat_Y,Elev_ft,Operator,Flow_EH_2
PDR,MILL CREEK NEAR PIEDRA,KINGS R,FRESNO,-119.3409,36.819,550,US Army Corps of Engineers,H
PR4,PH-30 PIT RIVER BLW PIT NO 4 DAM,PIT R,SHASTA,-121.779,40.975,2360,Pacific Gas & Electric,H
PRB,PH-27 PIT RIVER AT BIG BEND,PIT R,SHASTA,-121.909,41.02,1680,Pacific Gas & Electric,H
RBW,RAINBOW DIVERSION DAM,STONY CR,COLUSA,-122.605,39.371,1297,US Bureau of Reclamation,H
RIP,STANISLAUS RIVER AT RIPON,STANISLAUS R,SAN JOAQUIN,-121.1104965,37.7296524,73,US Geological Survey,H
RUM,CACHE CREEK AT RUMSEY BRIDGE,CACHE CR,YOLO,-122.238,38.89,400,CA Dept of Water Resources,H
S12,MF STANISLAUS R BL SANDBAR DIV DAM,STANISLAUS R,TUOLUMNE,-120.157776,38.183056,2720,Pacific Gas & Electric,H
S52,MF STANISLAUS R AT KENNEDY MEADOWS,STANISLAUS R,TUOLUMNE,-119.74028,38.297501,6326,Pacific Gas & Electric,H
S61,SF STANISLAUS R AT STRAWBERRY,STANISLAUS R,TUOLUMNE,-120.0075,38.197498,5235,Pacific Gas & Electric,H
S83,SF STANISLAUS R NR STRAWBERRY DIV DAM,STANISLAUS R,TUOLUMNE,-120.04583,38.177776,4915,Pacific Gas & Electric,H
SBH,SAN BENITO R AT HWY 156 NEAR HOLLISTER,SAN BENITO R,SAN BENITO,-121.4299393,36.85189819,260,US Geological Survey,H
SCL,SAN JOAQUIN R NR CROWS LANDING,SAN JOAQUIN R,STANISLAUS,-121.0138168,37.43188095,60,US Geological Survey,H
SCO,EEL RIVER AT SCOTIA,EEL R,HUMBOLDT,-124.0997696,40.49152374,160,USGS and DWR,H
SJS,SAN JOAQUIN RIVER NEAR STEVINSON,SAN JOAQUIN R,MERCED,-120.851,37.295,82,CA Dept of Water Resources,H
SSH,SALT SLOUGH AT HWY 165 NR STEVINSON,SAN JOAQUIN R,MERCED,-120.8511,37.2478,75,US Geological Survey,H
STH,NAPA RIVER NEAR ST HELENA,NAPA R,NAPA,-122.4558105,38.51129913,195,US Geological Survey,H
STO,SF TUOLUMNE R NR OAKLAND REC CAMP,TUOLUMNE R,TUOLUMNE,-120.0119,37.8217,2800,City of San Francisco,H
STP,STAMPEDE,TRUCKEE R,SIERRA,-120.103,39.471,5956,US Geological Survey,H
SVC,SILVER CR BLW CAMINO DAM,AMERICAN R,EL DORADO,-120.538,38.824,1863,Sacramento Municipal Utility District,H
THO,THOMES CREEK AT PASKENTA,SACRAMENTO R,TEHAMA,-122.5285645,39.88784027,720,CA Dept of Water Resources,H
TIL,TID CANAL AT LA GRANGE,TUOLUMNE R,STANISLAUS,-120.443,37.672,296,Turlock Irrigation District,H
TIS,SACTO R AT TISDALE WEIR (CREST 45.5'),SACRAMENTO R,SUTTER,-121.8220825,39.02643967,45,CA Dept of Water Resources,H
TRR,KAWEAH RIVER AT THREE RIVERS,KAWEAH R,TULARE,-118.9044,36.4439,833,US Army Corps of Engineers,H
TUM,TUOLUMNE MEADOWS,TUOLUMNE R,TUOLUMNE,-119.35,37.873,8600,CA Dept of Water Resources,H
VIN,SACRAMENTO RIVER AT VINA BRIDGE-MAIN CH,SACRAMENTO R,TEHAMA,-122.0924683,39.90873718,185,CA Dept of Water Resources,H
VNS,SAN JOAQUIN RIVER NEAR VERNALIS,SAN JOAQUIN R,SAN JOAQUIN,-121.2663269,37.67604065,35,USGS and DWR,H
VON,SACRAMENTO RIVER AT VERONA,SACRAMENTO R,SUTTER,-121.5982895,38.7743454,43,USGS and DWR,H
WLK,SACRAMENTO RIVER BELOW WILKINS SLOUGH,SACRAMENTO R,SUTTER,-121.8246918,39.00989532,30,US Geological Survey,H
WSL,WILLOW SLOUGH AT SB WEST BURROW PIT,SACRAMENTO R,SUTTER,-121.6275558,38.91458893,28,CA Dept of Water Resources,H
YPB,YUBA RIVER AT PARKS BAR BRIDGE,YUBA R,YUBA,-121.2817,39.2306,0,CA Dept of Water Resources,H
YRS,YUBA RIVER NEAR SMARTVILLE,YUBA R,YUBA,-121.2741241,39.23517227,280,Pacific Gas & Electric,H
